job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,label
1,29,0,1,4,0.984375,1
3,32,0,0,4,0.0,1
8,28,0,2,4,1.75,1
4,12,0,6,4,3.75,1
2,16,0,4,4,4.0,1
4,28,1,2,4,1.75,1
1,12,1,6,4,3.75,1
7,7,0,8,4,1.859375,1
2,14,0,5,4,3.4375,1
2,0,2,9,0,0.0,1
3,0,3,9,0,0.0,1
1,0,4,9,0,0.0,1
3,11,7,7,4,3.234375,0
4,0,5,9,0,0.0,1
1,12,2,6,4,3.75,1
4,0,0,9,0,0.0,1
1,0,1,9,0,0.0,1
4,4,3,11,4,1.75,0
7,1,2,12,1,0.109375,0
1,0,6,9,0,0.0,1
2,1,9,12,1,0.109375,1
1,0,5,13,0,0.0,1
2,1,3,12,1,0.109375,1
3,0,3,13,0,0.0,0
4,0,4,13,0,0.0,0
2,0,2,13,0,0.0,0
1,0,5,12,0,0.0,1
4,0,4,11,0,0.0,1
5,0,6,13,0,0.0,0
6,0,7,13,0,0.0,0
8,0,4,12,0,0.0,0
5,1,8,12,1,0.109375,0
6,4,6,11,4,1.75,0
7,4,3,9,2,0.5,0
8,4,4,9,2,0.5,0
4,1,6,5,1,0.109375,1
5,4,7,5,2,0.5,0
6,7,7,4,3,1.359375,0
6,1,7,5,1,0.109375,0
8,4,5,9,2,0.5,0
1,1,6,5,1,0.109375,1
1,2,12,6,1,0.1875,1
8,4,6,9,2,0.5,0
4,0,6,6,0,0.0,0
3,1,5,5,1,0.109375,1
3,0,7,6,0,0.0,0
8,4,6,5,2,0.5,0
4,4,8,5,2,0.5,0
6,0,7,6,0,0.0,0
8,4,7,9,2,0.5,0
5,6,12,5,2,0.4375,0
7,0,8,6,0,0.0,0
4,6,11,5,2,0.4375,0
8,9,6,4,3,1.609375,0
8,1,8,5,1,0.109375,0
4,8,9,5,2,0.75,0
7,0,10,6,0,0.0,0
1,7,9,4,3,1.109375,0
3,14,10,3,4,2.6875,0
1,0,16,5,0,0.0,0
8,0,9,6,0,0.0,0
4,0,10,5,0,0.0,0
8,8,10,5,2,0.75,0
7,0,9,6,0,0.0,0
8,3,10,5,1,0.234375,0
1,8,19,6,4,2.0,0
1,7,19,5,3,1.109375,0
3,0,15,5,0,0.0,0
5,0,9,5,0,0.0,0
4,0,11,5,0,0.0,0
1,15,18,5,4,2.359375,0
6,8,13,4,3,1.25,0
4,0,13,5,0,0.0,0
2,5,19,4,3,0.984375,0
3,0,18,5,0,0.0,0
7,0,12,5,0,0.0,0
3,0,17,5,0,0.0,0
4,0,14,5,0,0.0,0
2,0,18,7,0,0.0,0
2,0,19,7,0,0.0,0
3,1,18,6,1,0.109375,0
6,0,17,7,0,0.0,0
2,1,15,8,1,0.109375,0
1,2,17,7,2,0.4375,1
5,7,18,5,3,1.109375,0
6,8,18,6,4,2.0,0
2,1,18,8,1,0.109375,0
7,4,19,5,2,0.5,0
1,0,15,8,0,0.0,0
8,1,19,6,1,0.109375,0
4,4,18,6,2,0.5,0
1,0,19,8,0,0.0,0
1,2,16,7,2,0.4375,0
3,0,17,7,0,0.0,0
3,5,16,7,3,1.234375,0
7,8,16,7,4,2.0,0
4,1,16,8,1,0.109375,0
5,2,16,7,2,0.4375,0
2,0,16,8,0,0.0,0
2,0,17,8,0,0.0,0
8,1,17,8,1,0.109375,0
4,8,20,6,3,1.25,0
4,14,16,5,4,1.9375,0
8,1,17,8,1,0.109375,0
4,0,14,8,0,0.0,0
8,1,16,8,1,0.109375,0
4,2,15,7,2,0.4375,0
8,1,17,8,1,0.109375,0
8,0,18,8,0,0.0,0
7,3,20,7,1,0.234375,0
