job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,can_fit_now,gpu_fit_ratio,fragmentation,queue_pressure,node_availability,avg_free_per_node,wait_time,arrival_time,run_id
1,29,0,1,4,0.984375,1,1.0,0.9921567416492215,0.0,1.0,3.625,0,8,0
3,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0,1,0
8,28,0,2,4,1.75,1,1.0,1.3228756555322954,0.0,0.0,3.5,0,11,0
4,12,0,6,4,3.75,1,1.0,1.9364916731037085,0.0,0.375,1.5,0,14,0
2,16,0,4,4,4.0,1,1.0,2.0,0.0,0.5,2.0,0,12,0
4,28,1,2,4,1.75,1,1.0,1.3228756555322954,0.27586206896551724,0.875,3.5,0,11,0
1,12,1,6,4,3.75,1,1.0,1.9364916731037085,0.3076923076923077,0.375,1.5,0,14,0
7,7,0,8,4,1.859375,1,0.9999998571428775,1.3635890143294642,0.0,0.0,0.875,0,15,0
2,14,0,5,4,3.4375,1,1.0,1.8540496217739157,0.0,0.5,1.75,0,13,0
2,0,2,9,0,0.0,0,0.0,0.0,5.0,0.0,0.0,2,17,0
3,0,3,9,0,0.0,0,0.0,0.0,7.0,0.0,0.0,1,18,0
1,0,4,9,0,0.0,0,0.0,0.0,10.0,0.0,0.0,1,18,0
3,11,7,7,4,3.234375,1,1.0,1.79843682124227,1.3333333333333333,0.375,1.375,6,19,0
4,0,5,9,0,0.0,0,0.0,0.0,11.0,0.0,0.0,2,18,0
1,12,2,6,4,3.75,1,1.0,1.9364916731037085,0.38461538461538464,0.375,1.5,0,14,0
4,0,0,9,0,0.0,0,0.0,0.0,0.0,0.0,0.0,3,16,0
1,0,1,9,0,0.0,0,0.0,0.0,4.0,0.0,0.0,2,17,0
4,4,3,11,4,1.75,1,0.9999997500000625,1.3228756555322954,1.6,0.125,0.5,10,20,0
7,1,2,12,1,0.109375,0,0.1428571224489825,0.33071891388307384,3.5,0.0,0.125,8,23,0
1,0,6,9,0,0.0,0,0.0,0.0,15.0,0.0,0.0,3,18,0
2,1,9,12,1,0.109375,0,0.499999750000125,0.33071891388307384,18.5,0.0,0.125,2,29,0
1,0,5,13,0,0.0,0,0.0,0.0,20.0,0.0,0.0,1,28,0
2,1,3,12,1,0.109375,0,0.499999750000125,0.33071891388307384,7.0,0.0,0.125,1,24,0
3,0,3,13,0,0.0,0,0.0,0.0,13.0,0.0,0.0,5,26,0
4,0,4,13,0,0.0,0,0.0,0.0,16.0,0.0,0.0,6,27,0
2,0,2,13,0,0.0,0,0.0,0.0,11.0,0.0,0.0,4,26,0
1,0,5,12,0,0.0,0,0.0,0.0,28.0,0.0,0.0,2,32,0
4,0,4,11,0,0.0,0,0.0,0.0,25.0,0.0,0.0,3,35,0
5,0,6,13,0,0.0,0,0.0,0.0,21.0,0.0,0.0,6,28,0
6,0,7,13,0,0.0,0,0.0,0.0,26.0,0.0,0.0,11,28,0
8,0,4,12,0,0.0,0,0.0,0.0,20.0,0.0,0.0,12,32,0
5,1,8,12,1,0.109375,0,0.199999960000008,0.33071891388307384,16.0,0.0,0.125,13,29,0
6,4,6,11,4,1.75,0,0.6666665555555741,1.3228756555322954,5.8,0.0,0.5,18,33,0
7,4,3,9,2,0.5,0,0.57142848979593,0.7071067811865476,3.8,0.0,0.5,12,40,0
8,4,4,9,2,0.5,0,0.4999999375000079,0.7071067811865476,5.2,0.0,0.5,14,40,0
4,1,6,5,1,0.109375,0,0.24999993750001562,0.33071891388307384,23.0,0.0,0.125,3,55,0
5,4,7,5,2,0.5,0,0.799999840000032,0.7071067811865476,10.6,0.0,0.5,5,48,0
6,7,7,4,3,1.359375,1,1.0,1.165922381636102,6.5,0.0,0.875,5,52,0
6,1,7,5,1,0.109375,0,0.16666663888889352,0.33071891388307384,25.0,0.0,0.125,9,55,0
