job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,can_fit_now,gpu_fit_ratio,fragmentation,queue_pressure,node_availability,avg_free_per_node,wait_time
6,28,0,1,4,1.75,1,1.0,1.3228756555322954,0.0,0.0,3.5,0
8,10,0,4,4,2.9375,1,1.0,1.713913650100261,0.0,0.0,1.25,0
6,22,1,2,4,2.9375,1,1.0,1.713913650100261,0.2608695652173913,0.0,2.75,0
4,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0
6,22,0,2,4,2.9375,1,1.0,1.713913650100261,0.0,0.0,2.75,0
6,2,3,5,2,0.4375,0,0.33333327777778704,0.6614378277661477,7.666666666666667,0.0,0.25,6
7,10,1,4,4,2.9375,1,1.0,1.713913650100261,0.7272727272727273,0.0,1.25,7
5,2,4,5,2,0.4375,0,0.399999920000016,0.6614378277661477,9.666666666666666,0.0,0.25,10
8,2,1,5,2,0.4375,0,0.24999996875000394,0.6614378277661477,2.3333333333333335,0.0,0.25,9
4,9,5,4,4,2.359375,1,1.0,1.5360257159305635,3.4,0.125,1.125,9
7,8,5,4,4,2.0,1,1.0,1.4142135623730951,3.7777777777777777,0.0,1.0,24
8,2,2,5,2,0.4375,0,0.24999996875000394,0.6614378277661477,5.0,0.0,0.25,23
5,1,8,5,1,0.109375,0,0.199999960000008,0.33071891388307384,26.0,0.0,0.125,19
7,7,5,4,4,1.859375,1,0.9999998571428775,1.3635890143294642,3.75,0.0,0.875,25
6,7,6,4,4,1.859375,1,1.0,1.3635890143294642,4.625,0.0,0.875,30
4,0,9,5,0,0.0,0,0.0,0.0,59.0,0.0,0.0,23
7,1,7,5,1,0.109375,0,0.1428571224489825,0.33071891388307384,22.5,0.0,0.125,32
8,1,6,5,1,0.109375,0,0.12499998437500197,0.33071891388307384,18.5,0.0,0.125,31
7,1,9,5,1,0.109375,0,0.1428571224489825,0.33071891388307384,28.5,0.0,0.125,39
6,2,11,5,2,0.4375,0,0.33333327777778704,0.6614378277661477,24.666666666666668,0.0,0.25,31
8,0,10,5,0,0.0,0,0.0,0.0,63.0,0.0,0.0,52
7,2,10,5,2,0.4375,0,0.285714244897965,0.6614378277661477,22.333333333333332,0.0,0.25,46
4,8,14,4,4,2.0,1,1.0,1.4142135623730951,10.222222222222221,0.125,1.0,40
5,2,12,5,2,0.4375,0,0.399999920000016,0.6614378277661477,26.666666666666668,0.0,0.25,55
8,0,14,5,0,0.0,0,0.0,0.0,88.0,0.0,0.0,53
4,1,15,5,1,0.109375,0,0.24999993750001562,0.33071891388307384,49.5,0.0,0.125,55
