job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,can_fit_now,gpu_fit_ratio,fragmentation,queue_pressure,node_availability,avg_free_per_node,wait_time
2,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0
2,32,1,0,4,0.0,1,1.0,0.0,0.06060606060606061,1.0,4.0,0
1,28,2,2,4,1.75,1,1.0,1.3228756555322954,0.13793103448275862,0.875,3.5,0
2,28,0,2,4,1.75,1,1.0,1.3228756555322954,0.0,0.875,3.5,0
1,21,0,7,4,3.234375,1,1.0,1.79843682124227,0.0,0.75,2.625,0
2,28,1,2,4,1.75,1,1.0,1.3228756555322954,0.06896551724137931,0.875,3.5,0
1,20,0,8,4,3.75,1,1.0,1.9364916731037085,0.0,0.625,2.5,0
1,23,0,5,4,2.859375,1,1.0,1.6909686573085854,0.0,0.75,2.875,0
1,23,1,5,4,2.859375,1,1.0,1.6909686573085854,0.041666666666666664,0.75,2.875,0
2,22,1,8,4,2.9375,1,1.0,1.713913650100261,0.043478260869565216,0.75,2.75,0
1,19,0,9,4,3.484375,1,1.0,1.8666480653835098,0.0,0.625,2.375,0
2,22,0,8,4,1.9375,1,1.0,1.3919410907075054,0.0,0.875,2.75,0
1,22,0,8,4,2.9375,1,1.0,1.713913650100261,0.0,0.75,2.75,0
1,22,0,8,4,1.6875,1,1.0,1.299038105676658,0.0,1.0,2.75,0
2,24,0,6,4,1.75,1,1.0,1.3228756555322954,0.0,0.875,3.0,0
2,24,1,6,4,2.25,1,1.0,1.5,0.16,0.75,3.0,0
1,25,0,5,4,1.859375,1,1.0,1.3635890143294642,0.0,0.875,3.125,0
4,24,0,6,4,2.25,1,1.0,1.5,0.0,0.625,3.0,0
1,20,1,7,4,2.75,1,1.0,1.6583123951777,0.09523809523809523,0.75,2.5,0
2,20,2,7,4,2.75,1,1.0,1.6583123951777,0.14285714285714285,0.75,2.5,0
1,18,0,8,4,3.4375,1,1.0,1.8540496217739157,0.0,0.625,2.25,0
2,20,0,7,4,2.75,1,1.0,1.6583123951777,0.0,0.75,2.5,0
1,15,0,10,4,3.609375,1,1.0,1.899835519196333,0.0,0.5,1.875,0
2,18,0,8,4,2.1875,1,1.0,1.479019945774904,0.0,0.625,2.25,0
2,20,0,7,4,1.5,1,1.0,1.224744871391589,0.0,0.75,2.5,0
2,21,0,8,4,1.734375,1,1.0,1.3169567191065923,0.0,0.875,2.625,0
1,18,1,8,4,2.1875,1,1.0,1.479019945774904,0.10526315789473684,0.875,2.25,0
1,14,0,11,4,3.4375,1,1.0,1.8540496217739157,0.0,0.5,1.75,0
2,21,1,8,4,1.734375,1,1.0,1.3169567191065923,0.09090909090909091,0.875,2.625,0
2,16,1,10,4,3.0,1,1.0,1.7320508075688772,0.11764705882352941,0.625,2.0,0
1,15,0,10,4,3.109375,1,1.0,1.7633419974582356,0.0,0.625,1.875,0
2,18,0,9,4,2.6875,1,1.0,1.6393596310755,0.0,0.625,2.25,0
2,16,0,10,4,3.0,1,1.0,1.7320508075688772,0.0,0.625,2.0,0
2,20,1,8,4,3.0,1,1.0,1.7320508075688772,0.047619047619047616,0.625,2.5,0
1,17,0,9,4,3.609375,1,1.0,1.899835519196333,0.0,0.625,2.125,0
1,20,0,8,4,3.0,1,1.0,1.7320508075688772,0.0,0.75,2.5,0
1,24,1,8,4,2.0,1,1.0,1.4142135623730951,0.04,0.875,3.0,0
1,18,0,9,4,2.4375,1,1.0,1.5612494995995996,0.0,0.875,2.25,0
1,22,1,7,4,2.6875,1,1.0,1.6393596310755,0.043478260869565216,0.75,2.75,0
1,21,1,8,4,2.484375,1,1.0,1.5761900266148114,0.045454545454545456,0.875,2.625,0
1,22,0,7,4,2.6875,1,1.0,1.6393596310755,0.0,0.75,2.75,0
1,21,0,8,4,2.484375,1,1.0,1.5761900266148114,0.0,0.875,2.625,0
1,21,0,9,4,2.734375,1,1.0,1.653594569415369,0.0,0.75,2.625,0
2,23,0,9,4,2.359375,1,1.0,1.5360257159305635,0.0,0.75,2.875,0
3,23,1,9,4,2.359375,1,1.0,1.5360257159305635,0.08333333333333333,0.625,2.875,0
1,18,0,11,4,3.4375,1,1.0,1.8540496217739157,0.0,0.625,2.25,0
1,24,0,8,4,2.0,1,1.0,1.4142135623730951,0.0,0.875,3.0,0
2,19,0,10,4,2.984375,1,1.0,1.7275343701356567,0.0,0.625,2.375,0
