job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,can_fit_now,gpu_fit_ratio,fragmentation,queue_pressure,node_availability,avg_free_per_node,wait_time
7,31,0,1,4,0.109375,1,1.0,0.33071891388307384,0.0,0.0,3.875,0
7,20,0,3,4,3.75,1,1.0,1.9364916731037085,0.0,0.0,2.5,0
1,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0
5,8,0,5,4,3.0,1,1.0,1.7320508075688772,0.0,0.0,1.0,0
4,31,1,1,4,0.109375,1,1.0,0.33071891388307384,0.21875,0.875,3.875,0
7,15,0,4,4,3.609375,1,1.0,1.899835519196333,0.0,0.0,1.875,0
5,13,0,4,4,3.484375,1,1.0,1.8666480653835098,0.0,0.0,1.625,0
1,9,0,4,4,2.859375,1,1.0,1.6909686573085854,0.0,0.375,1.125,0
8,14,0,5,4,3.1875,1,1.0,1.7853571071357126,0.0,0.0,1.75,0
7,3,0,6,3,0.984375,0,0.4285713673469475,0.9921567416492215,0.0,0.0,0.375,2
1,5,2,7,4,1.734375,1,1.0,1.3169567191065923,1.1666666666666667,0.25,0.625,0
2,19,0,3,4,3.484375,1,1.0,1.8666480653835098,0.0,0.625,2.375,0
5,22,0,3,4,2.6875,1,1.0,1.6393596310755,0.0,0.0,2.75,0
3,17,0,4,4,3.609375,1,1.0,1.899835519196333,0.0,0.5,2.125,0
1,14,1,5,4,3.1875,1,1.0,1.7853571071357126,0.5333333333333333,0.625,1.75,0
3,5,0,7,4,1.734375,1,1.0,1.3169567191065923,0.0,0.125,0.625,0
4,5,1,7,4,1.734375,1,1.0,1.3169567191065923,0.5,0.125,0.625,4
2,28,1,1,4,1.75,1,1.0,1.3228756555322954,0.06896551724137931,0.875,3.5,0
2,28,0,1,4,1.75,1,1.0,1.3228756555322954,0.0,0.875,3.5,0
1,17,0,4,4,3.109375,1,1.0,1.7633419974582356,0.0,0.625,2.125,0
6,16,0,5,4,3.25,1,1.0,1.8027756377319946,0.0,0.0,2.0,0
4,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0
7,24,0,3,4,3.0,1,1.0,1.7320508075688772,0.0,0.0,3.0,0
2,24,1,3,4,3.0,1,1.0,1.7320508075688772,0.28,0.75,3.0,0
8,4,1,6,4,1.75,0,0.4999999375000079,1.3228756555322954,1.6,0.0,0.5,6
7,12,0,5,4,2.75,1,1.0,1.6583123951777,0.0,0.0,1.5,0
7,13,1,4,4,2.984375,1,1.0,1.7275343701356567,0.5714285714285714,0.0,1.625,6
2,6,1,5,4,1.6875,1,1.0,1.299038105676658,1.1428571428571428,0.125,0.75,0
8,12,1,5,4,2.75,1,1.0,1.6583123951777,0.5384615384615384,0.0,1.5,4
5,16,0,3,4,4.0,1,1.0,2.0,0.0,0.0,2.0,0
5,0,0,5,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1
6,27,0,1,4,1.734375,1,1.0,1.3169567191065923,0.0,0.0,3.375,0
5,21,0,2,4,3.234375,1,1.0,1.79843682124227,0.0,0.0,2.625,0
4,0,1,7,0,0.0,0,0.0,0.0,5.0,0.0,0.0,7
4,4,2,7,3,1.0,1,0.9999997500000625,1.0,2.2,0.0,0.5,0
1,11,0,4,4,3.234375,1,1.0,1.79843682124227,0.0,0.375,1.375,0
6,11,1,4,4,3.234375,1,1.0,1.79843682124227,0.08333333333333333,0.0,1.375,0
4,4,1,6,4,1.75,1,0.9999997500000625,1.3228756555322954,1.0,0.125,0.5,0
3,0,2,7,0,0.0,0,0.0,0.0,9.0,0.0,0.0,8
5,7,2,6,4,2.359375,1,1.0,1.5360257159305635,1.125,0.0,0.875,10
6,0,2,7,0,0.0,0,0.0,0.0,7.0,0.0,0.0,14
5,11,2,4,4,3.234375,1,1.0,1.79843682124227,0.5833333333333334,0.0,1.375,4
6,8,3,6,4,2.25,1,1.0,1.5,1.6666666666666667,0.0,1.0,2
2,0,2,8,0,0.0,0,0.0,0.0,11.0,0.0,0.0,3
6,1,1,6,1,0.109375,0,0.16666663888889352,0.33071891388307384,1.0,0.0,0.125,1
6,9,1,5,4,2.109375,1,1.0,1.4523687548277813,0.6,0.0,1.125,1
7,0,3,8,0,0.0,0,0.0,0.0,13.0,0.0,0.0,4
2,1,0,6,1,0.109375,0,0.499999750000125,0.33071891388307384,0.0,0.0,0.125,3
6,12,2,4,4,2.5,1,1.0,1.5811388300841898,0.6153846153846154,0.0,1.5,1
2,9,1,5,4,2.109375,1,1.0,1.4523687548277813,0.6,0.25,1.125,0
7,9,2,5,4,2.109375,1,1.0,1.4523687548277813,0.8,0.0,1.125,8
4,16,2,4,4,2.25,1,1.0,1.5,0.35294117647058826,0.25,2.0,0
4,16,1,4,4,2.25,1,1.0,1.5,0.11764705882352941,0.25,2.0,0
1,6,1,7,4,1.9375,1,1.0,1.3919410907075054,1.0,0.25,0.75,0
5,6,2,7,4,1.9375,1,1.0,1.3919410907075054,1.1428571428571428,0.0,0.75,0
1,3,1,6,2,0.484375,1,1.0,0.6959705453537527,1.75,0.25,0.375,0
7,6,0,7,4,1.9375,0,0.857142734693895,1.3919410907075054,0.0,0.0,0.75,5
2,16,0,4,4,2.25,1,1.0,1.5,0.0,0.625,2.0,0
1,0,1,9,0,0.0,0,0.0,0.0,7.0,0.0,0.0,2
6,12,0,6,4,2.5,1,1.0,1.5811388300841898,0.0,0.0,1.5,0
1,0,2,9,0,0.0,0,0.0,0.0,8.0,0.0,0.0,2
4,32,0,0,4,0.0,1,1.0,0.0,0.0,1.0,4.0,0
1,16,0,3,4,4.0,1,1.0,2.0,0.0,0.5,2.0,0
7,28,0,1,4,1.75,1,1.0,1.3228756555322954,0.0,0.0,3.5,0
3,15,0,4,4,3.609375,1,1.0,1.899835519196333,0.0,0.5,1.875,0
4,12,0,5,4,3.75,1,1.0,1.9364916731037085,0.0,0.375,1.5,0
5,21,0,2,4,3.234375,1,1.0,1.79843682124227,0.0,0.0,2.625,0
7,8,0,6,4,3.0,1,1.0,1.7320508075688772,0.0,0.0,1.0,0
2,11,0,3,4,2.734375,1,1.0,1.653594569415369,0.0,0.375,1.375,0
7,18,0,2,4,3.1875,1,1.0,1.7853571071357126,0.0,0.0,2.25,0
2,6,0,4,4,1.9375,1,1.0,1.3919410907075054,0.0,0.25,0.75,0
4,16,0,3,4,4.0,1,1.0,2.0,0.0,0.5,2.0,0
7,13,0,4,4,2.734375,1,1.0,1.653594569415369,0.0,0.0,1.625,0
8,14,0,3,4,3.4375,1,1.0,1.8540496217739157,0.0,0.0,1.75,0
4,11,1,4,4,2.734375,1,1.0,1.653594569415369,0.6666666666666666,0.25,1.375,1
8,11,0,4,4,2.734375,1,1.0,1.653594569415369,0.0,0.0,1.375,0
3,15,0,3,4,3.609375,1,1.0,1.899835519196333,0.0,0.5,1.875,0
2,5,0,6,4,1.734375,1,1.0,1.3169567191065923,0.0,0.125,0.625,0
5,12,0,3,4,3.0,1,1.0,1.7320508075688772,0.0,0.0,1.5,0
7,6,0,6,3,1.6875,0,0.857142734693895,1.299038105676658,0.0,0.0,0.75,4
1,20,0,3,4,2.5,1,1.0,1.5811388300841898,0.0,0.875,2.5,0
4,19,0,2,4,2.484375,1,1.0,1.5761900266148114,0.0,0.375,2.375,0
6,1,1,6,1,0.109375,0,0.16666663888889352,0.33071891388307384,3.0,0.0,0.125,3
8,13,0,5,4,3.484375,1,1.0,1.8666480653835098,0.0,0.0,1.625,0
6,19,0,4,4,2.984375,1,1.0,1.7275343701356567,0.0,0.0,2.375,0
4,2,2,5,1,0.1875,0,0.49999987500003124,0.4330127018922193,2.3333333333333335,0.0,0.25,2
4,1,2,6,1,0.109375,0,0.24999993750001562,0.33071891388307384,6.0,0.0,0.125,5
7,6,3,4,3,1.1875,0,0.857142734693895,1.0897247358851685,1.5714285714285714,0.0,0.75,2
