arrival_time,wait_time,runtime,num_gpus
0,31,21,6
0,44,22,5
0,0,19,7
0,28,19,4
0,15,15,3
0,0,14,3
0,56,21,5
0,0,20,8
0,9,15,4
0,21,14,2
0,0,21,8
0,0,17,6
0,7,12,3
2,9,14,4
2,57,27,8
2,43,22,6
2,0,10,2
2,12,13,1
2,12,18,6
2,63,22,7
2,0,10,2
2,12,18,4
2,1,15,4
2,3,10,2
2,0,10,2
4,2,14,3
4,0,8,1
4,10,18,4
4,43,24,7
4,0,10,2
4,1,12,3
4,0,14,1
4,25,20,7
4,56,20,5
4,60,24,6
4,3,11,2
4,7,14,1
4,1,13,3
4,0,12,1
4,0,14,4
6,0,15,5
6,56,20,4
6,41,23,8
6,10,13,1
6,55,20,5
6,2,20,8
6,23,19,5
6,0,15,5
6,12,17,6
6,14,19,4
6,0,12,1
6,0,16,5
6,0,15,5
6,14,20,7
6,10,19,6
8,31,21,6
8,0,17,6
8,51,20,6
8,7,17,6
8,6,18,2
8,5,10,2
8,20,17,5
8,21,16,3
8,34,17,4
8,0,10,2
8,40,16,2
8,0,8,1
8,45,26,8
8,7,13,3
10,0,10,1
10,10,21,8
10,2,15,5
10,5,12,1
10,36,19,5
10,9,17,5
10,51,25,7
10,2,10,1
10,1,15,5
10,71,24,8
10,43,19,6
10,43,23,7
10,0,13,4
12,47,25,8
12,10,15,4
12,1,10,2
12,74,21,6
12,13,18,4
12,9,20,8
12,0,10,2
12,8,16,5
12,44,24,8
12,45,21,7
12,0,13,3
12,0,19,7
12,47,27,8
12,49,21,6
14,1,10,1
14,48,20,5
14,70,24,7
14,47,24,8
14,5,12,3
14,20,15,4
14,0,8,1
14,13,18,4
14,0,13,4
14,7,13,1
14,7,16,5
14,0,14,4
14,12,17,6
14,18,22,6
16,1,21,8
16,45,23,7
16,44,16,2
16,8,14,4
16,2,11,2
16,10,17,4
16,57,23,7
16,20,22,6
16,68,22,6
16,46,20,5
16,5,19,7
16,1,14,4
16,0,14,4
16,7,13,2
18,3,14,4
18,55,27,8
18,52,21,7
18,12,17,5
18,9,21,8
18,28,21,7
18,7,16,5
18,0,14,1
18,26,16,3
18,0,10,2
18,1,16,2
18,76,24,7
18,2,17,6
20,38,18,4
20,56,23,7
20,1,10,2
20,0,17,6
20,8,19,7
20,15,19,5
20,48,23,7
20,15,17,3
20,0,10,2
20,79,27,8
20,5,11,2
20,29,22,8
20,7,14,3
20,5,12,3
20,6,17,5
22,2,12,2
22,22,15,2
22,5,12,3
22,20,14,2
22,7,19,7
22,0,12,2
22,18,14,3
22,0,13,4
22,38,23,7
22,72,22,5
22,20,18,6
22,80,24,8
22,0,8,1
24,7,15,3
24,0,17,6
24,2,14,1
24,84,27,8
24,24,23,6
24,0,21,8
24,1,9,1
24,0,12,3
24,12,19,4
24,23,19,6
24,9,14,3
24,0,10,1
24,46,24,7
24,2,10,2
24,20,17,5
26,2,10,1
26,77,21,5
26,0,13,4
26,18,14,3
26,20,20,8
26,0,8,1
26,20,15,2
26,0,8,1
26,1,14,1
26,14,13,1
26,0,13,1
28,0,10,1
28,36,17,3
28,8,21,8
28,23,20,7
28,34,20,7
28,63,23,7
28,51,25,8
28,9,12,2
28,60,26,8
28,6,15,5
28,0,8,1
28,0,11,3
28,84,28,8
28,13,15,4
28,22,22,6
30,5,14,3
30,8,14,3
30,22,17,5
30,55,24,7
30,6,14,4
30,1,17,5
30,1,12,3
30,1,9,1
30,47,21,6
30,57,21,7
30,16,19,4
30,78,22,5
32,14,14,3
32,0,11,3
32,0,21,8
32,25,17,5
32,32,21,5
32,5,11,2
32,16,16,3
32,62,26,8
32,13,14,3
32,8,18,6
32,52,21,5
32,80,22,5
32,2,19,7
34,49,24,7
34,0,11,2
34,14,22,8
34,76,25,8
34,7,10,1
34,39,21,6
34,0,13,4
34,25,20,7
34,0,15,2
34,1,11,1
34,0,13,4
34,8,19,7
34,75,27,7
36,21,16,3
36,48,18,4
36,12,16,5
36,7,21,8
36,23,18,3
36,5,14,4
36,28,23,8
36,83,28,8
36,15,13,3
36,0,10,2
36,16,18,6
36,55,23,6
36,13,16,4
36,0,8,1
36,64,23,7
38,70,24,8
38,43,18,3
38,8,17,6
38,53,22,7
38,0,10,2
38,83,22,4
38,5,12,3
38,43,24,7
38,1,10,1
38,0,8,1
38,0,9,1
38,24,19,6
40,29,18,4
40,2,10,1
40,6,11,3
40,47,21,5
40,0,10,2
40,20,15,1
40,15,17,5
40,29,23,8
40,16,16,4
40,82,24,5
40,0,15,5
40,1,15,5
40,6,10,1
40,0,8,1
42,14,17,6
42,34,20,7
42,26,14,3
42,12,14,4
42,74,21,4
42,0,14,4
42,0,20,8
42,23,16,2
42,54,25,8
42,0,13,4
42,57,23,7
42,23,20,6
42,54,24,8
42,33,20,7
44,12,12,2
44,74,28,8
44,20,22,8
44,0,8,1
44,36,24,7
44,9,12,2
44,6,12,3
44,55,24,8
44,5,16,5
44,24,16,4
44,24,14,1
44,10,12,2
44,0,12,3
46,8,14,4
46,44,21,4
46,59,26,8
46,1,13,3
46,0,10,2
46,15,13,2
46,0,13,2
46,6,17,4
46,15,22,8
46,6,20,8
46,51,21,6
46,72,28,8
46,70,25,8
46,7,14,4
46,0,10,2
48,9,12,2
48,2,10,2
48,71,25,6
48,0,11,1
48,55,27,8
48,0,12,3
48,8,14,3
48,13,15,1
48,0,12,3
48,0,11,3
48,16,14,2
48,18,17,3
48,33,14,2
50,0,10,2
50,53,19,5
50,10,16,5
50,16,17,5
50,8,19,7
50,37,24,8
50,16,14,3
50,62,26,8
50,0,13,4
50,64,23,7
50,57,25,8
50,68,26,7
50,5,10,1
50,0,12,1
52,75,24,6
52,17,17,5
52,1,12,3
52,29,21,7
52,7,18,6
52,8,18,6
52,8,14,2
52,54,25,7
52,0,8,1
52,7,13,2
52,66,26,8
52,47,21,6
52,0,10,2
52,39,23,8
54,0,20,8
54,72,21,4
54,55,24,7
54,7,13,3
54,26,18,5
54,2,15,3
54,39,17,3
54,0,15,5
54,7,11,2
54,2,12,3
54,26,22,8
54,31,18,3
54,1,10,1
54,60,23,7
56,0,10,2
56,1,12,2
56,0,13,1
56,28,18,5
56,70,25,8
56,14,15,2
56,12,12,2
56,53,26,8
56,1,15,4
56,0,21,8
56,0,9,1
56,75,28,8
56,1,12,2
58,20,16,2
58,5,10,1
58,12,20,7
58,9,16,5
58,56,25,7
58,12,14,2
58,3,13,2
58,3,16,4
58,10,21,8
58,7,20,7
58,23,16,1
58,78,21,4
58,70,27,8
60,23,18,2
60,21,20,7
60,55,23,7
60,0,8,1
60,0,19,7
60,2,8,1
60,17,16,5
60,2,19,7
60,20,21,7
60,70,28,8
60,33,16,4
60,25,22,8
60,3,11,2
60,32,23,8
62,15,18,5
62,8,12,1
62,0,13,4
62,8,16,5
62,24,18,5
62,30,18,4
62,1,13,3
62,0,11,3
62,7,20,7
62,41,23,8
62,56,22,6
62,71,23,7
62,5,15,5
62,20,19,6
64,14,18,6
64,0,10,2
64,8,19,6
64,47,20,4
64,2,12,3
64,6,15,5
64,9,10,1
64,41,19,4
64,0,11,1
64,0,15,5
64,23,20,7
64,39,17,4
64,6,12,1
64,0,12,1
66,1,15,3
66,37,20,4
66,0,11,2
66,56,24,7
66,3,16,3
66,0,8,1
66,6,14,2
66,7,11,1
66,9,19,7
66,0,11,2
66,49,18,4
66,0,12,3
66,3,11,2
66,0,14,4
66,3,14,1
68,13,16,3
68,15,20,7
68,20,16,2
68,9,17,6
68,0,10,2
68,32,19,5
68,66,22,6
68,7,18,6
68,26,20,7
68,56,25,7
68,16,14,4
68,12,16,4
68,0,11,2
70,29,20,6
70,60,23,6
70,20,22,8
70,31,17,4
70,28,19,6
70,9,15,2
70,46,19,3
70,1,14,3
70,8,13,4
70,0,20,8
70,1,9,1
70,7,18,6
70,0,10,2
72,0,11,2
72,0,9,1
72,20,20,6
72,21,20,7
72,0,10,1
72,52,22,6
72,79,25,8
72,9,11,2
72,13,19,7
72,12,17,4
72,33,23,8
72,15,16,2
74,0,10,2
74,0,8,1
74,60,23,6
74,32,20,7
74,9,19,7
74,15,15,4
74,1,16,3
74,22,20,6
74,0,12,2
74,36,17,3
74,34,17,4
74,70,26,8
74,3,12,2
74,1,14,2
76,28,20,6
76,14,17,2
76,0,13,4
76,14,17,5
76,7,19,7
76,32,21,7
76,0,11,2
