job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,can_fit_now,gpu_fit_ratio,fragmentation,queue_pressure,node_availability,avg_free_per_node,wait_time
5,25,0,2,4,2.359375,1,4.9999990000002,2.499999375293882e-07,0.0,0.0,3.125,0
7,25,1,2,4,2.359375,1,3.571428061224563,2.499999375293882e-07,0.2692307692307692,0.0,3.125,0
6,11,1,5,4,3.234375,1,1.8333330277778286,2.499999375293882e-07,0.5,0.0,1.375,0
5,11,0,5,4,3.234375,1,2.199999560000088,2.499999375293882e-07,0.0,0.0,1.375,0
2,13,0,4,4,3.484375,1,6.499996750001625,2.499999375293882e-07,0.0,0.375,1.625,0
1,26,0,1,4,1.9375,1,25.999974000026,2.499999375293882e-07,0.0,0.875,3.25,0
6,32,0,0,4,0.0,1,5.333332444444593,2.499999375293882e-07,0.0,0.0,4.0,0
6,11,0,5,4,3.234375,1,1.8333330277778286,2.499999375293882e-07,0.0,0.0,1.375,0
5,12,1,5,4,3.0,1,2.399999520000096,2.499999375293882e-07,0.38461538461538464,0.0,1.5,0
7,12,0,5,4,3.0,1,1.71428546938779,2.499999375293882e-07,0.0,0.0,1.5,0
1,1,1,5,1,0.109375,1,0.9999990000010001,0.7500000624999844,0.5,0.125,0.125,0
6,6,0,6,3,1.6875,1,0.9999998333333611,0.2500001874999531,0.0,0.0,0.75,0
2,7,1,5,4,1.609375,1,3.499998250000875,2.499999375293882e-07,0.25,0.125,0.875,2
7,5,0,6,4,1.734375,0,0.7142856122449125,2.499999375293882e-07,0.0,0.0,0.625,1
4,1,2,5,1,0.109375,0,0.24999993750001562,0.7500000624999844,4.0,0.0,0.125,1
5,0,3,7,0,0.0,0,0.0,1.0,15.0,0.0,0.0,1
6,6,1,6,3,1.6875,1,0.9999998333333611,0.2500001874999531,0.8571428571428571,0.0,0.75,9
8,0,1,7,0,0.0,0,0.0,1.0,8.0,0.0,0.0,8
4,5,5,6,3,1.234375,1,1.249999687500078,0.2500001874999531,3.3333333333333335,0.0,0.625,6
7,0,2,7,0,0.0,0,0.0,1.0,14.0,0.0,0.0,10
2,4,3,5,2,0.5,1,1.9999990000005,0.5000001249999688,1.2,0.125,0.5,0
2,2,2,6,2,0.4375,1,0.99999950000025,0.5000001249999688,1.3333333333333333,0.125,0.25,0
