trace,feature_set,extra_features,n_features,n_windows,train_rows,ranking_instants,mean_queue_len,equal_size_diff_pred_violations,kendall_tau_vs_size_mean,kendall_tau_vs_size_min,mean_distinct_predictions,pct_all_scores_tied,pct_order_identical_to_size,pct_order_identical_to_arrival,pct_size_table_monotone,features_varying_mean,mean_wait_min,smallest_first_mean_wait_min,tost_vs_smallest_first_equivalent,tost_vs_smallest_first_p
sdsc,baseline,none,8,20,30831,11843,8.475892932533986,0,0.7518832993306538,-1.0,3.0883222156548173,14.413577640800472,71.52748459005319,18.111964873765093,57.11390694925272,2.8681921810352105,145.02826915137112,144.95419596152774,True,1.776131056674421e-12
sdsc,+est_runtime,est_runtime,9,20,30831,11805,7.788225328250741,9169,0.6043690601547661,-1.0,4.205590851334181,8.149089368911477,38.00931808555697,11.740787801778907,45.27742481999153,3.7110546378653115,124.9582111920003,144.95419596152774,False,0.8016138808394853
sdsc,+user_hist_wait,user_hist_wait,9,20,30831,11838,7.5328602804527796,8895,0.664036207607215,-1.0,4.035056597398209,7.906741003547896,43.97702314580165,13.22013853691502,53.83510728163541,3.8171988511572903,127.05780231315363,144.95419596152774,False,0.7239604475788832
sdsc,+user_hist_runtime,user_hist_runtime,9,20,30831,11751,7.775082971661986,9857,0.7049123588282198,-1.0,4.341587949961705,7.037698919240916,40.23487362777636,11.505403795421666,55.322951238192495,3.7677644455791,122.05233731426728,144.95419596152774,False,0.8733980905553296
sdsc,+queue_id,queue_id,9,20,30831,11944,7.965254521098459,6194,0.7501528260764546,-1.0,3.584226389819156,9.477561955793703,50.594440723375754,13.446081714668452,58.313797722705964,3.6491962491627596,131.75477979107032,144.95419596152774,False,0.3938821946268011
sdsc,+user_id,user_id,9,20,30831,11875,7.824168421052631,9275,0.6486104740455523,-1.0,4.0850526315789475,6.307368421052631,38.14736842105263,11.250526315789473,52.94315789473684,3.7870315789473685,131.72736698297214,144.95419596152774,False,0.421399741635682
sdsc,+all,est_runtime|user_hist_wait|user_hist_runtime|queue_id|user_id,13,20,30831,11853,7.694507719564667,10718,0.5926225016332606,-1.0,4.5499029781489915,6.859023032143761,33.12241626592424,11.566691976714756,45.794313675862654,7.210326499620351,122.6331129243968,144.95419596152774,False,0.8984113973888308
lanl,baseline,none,8,20,81619,29943,9.098386935176835,0,0.6206617494336178,-1.0,2.2772601275757274,20.72938583308286,77.63083191396987,27.465517817185987,56.90144608088702,2.6855692482383198,37.15540053573093,42.4890252331326,False,0.6869640411589655
lanl,+est_runtime,est_runtime,9,20,81619,30095,9.136567536135571,23635,0.4780528362058031,-1.0,3.657451403887689,7.978069446751952,36.019272304369494,15.271639807276957,50.16780196045855,3.507260342249543,36.99070799174638,42.4890252331326,False,0.7735506411386347
lanl,+user_hist_wait,user_hist_wait,9,20,81619,30244,9.394491469382357,28157,0.4597126656087534,-1.0,4.322774765242693,6.166512366089141,32.04271921703479,12.058590133580214,51.173786536172464,3.6936913106731915,36.424152962428515,42.4890252331326,False,0.6237549782681897
lanl,+user_hist_runtime,user_hist_runtime,9,20,81619,29887,8.865058386589487,26707,0.4989601356288283,-1.0,3.873222471308596,6.283668484625422,34.03151872051394,13.112724595978184,53.69224077358049,3.641917890721719,36.56210845840907,42.4890252331326,False,0.7308627830646145
lanl,+queue_id,queue_id,9,20,81619,29953,8.480619637431976,13801,0.5966407145602923,-1.0,2.8581778119053185,13.481120421994458,56.02109972289921,20.99622742296264,54.98280639668815,3.4286715854839245,33.67776421946804,42.4890252331326,False,0.8306515949315183
lanl,+user_id,user_id,9,20,81619,31059,8.56656685662771,27308,0.42007757950376684,-1.0,3.8000257574294087,6.745226826362729,33.52973373257349,14.694613477574938,47.24556489262372,3.545510158086223,36.59761761913875,42.4890252331326,False,0.7323118312709127
lanl,+all,est_runtime|user_hist_wait|user_hist_runtime|queue_id|user_id,13,20,81619,30384,8.425157977883096,28497,0.4708613643615576,-1.0,4.539922327540811,6.009741969457609,32.93838862559242,13.895471300684571,50.480516061084785,7.169957872564507,31.951776477752063,42.4890252331326,False,0.8765791823593865
