setting,size,norm_score,n
synthetic (12 features),1.0,0.007868386465348369,345
synthetic (12 features),2.0,0.039962927928924336,347
synthetic (12 features),3.0,0.1254242251826437,432
synthetic (12 features),4.0,0.16237806144164296,650
synthetic (12 features),5.0,0.32268018666368664,877
synthetic (12 features),6.0,0.44806289671710686,1406
synthetic (12 features),7.0,0.6439583086687165,2677
synthetic (12 features),8.0,0.9023839254265448,2869
SDSC SP2 (1998) (8 features),1.0,0.06272242764767506,1562
SDSC SP2 (1998) (8 features),2.0,0.07248816661822316,1435
SDSC SP2 (1998) (8 features),3.0,0.016959291425071146,253
SDSC SP2 (1998) (8 features),4.0,0.05806291450347955,1229
SDSC SP2 (1998) (8 features),5.0,0.08950413485401318,362
SDSC SP2 (1998) (8 features),6.0,0.18717409578775615,295
SDSC SP2 (1998) (8 features),7.0,0.14008210747298294,32
SDSC SP2 (1998) (8 features),8.0,0.25008522192634536,1793
SDSC SP2 (1998) (8 features),9.0,0.02004014048494097,58
SDSC SP2 (1998) (8 features),10.0,0.47951413068071513,631
SDSC SP2 (1998) (8 features),11.0,0.3535682488625283,130
SDSC SP2 (1998) (8 features),12.0,0.23075766449731427,354
SDSC SP2 (1998) (8 features),13.0,0.3196700858702419,5
SDSC SP2 (1998) (8 features),14.0,0.10044545455086021,17
SDSC SP2 (1998) (8 features),15.0,0.2171634408252996,37
SDSC SP2 (1998) (8 features),16.0,0.3817660647352022,3387
SDSC SP2 (1998) (8 features),17.0,0.09194646609269164,32
SDSC SP2 (1998) (8 features),18.0,0.4363856455846678,147
SDSC SP2 (1998) (8 features),19.0,0.36746816768084867,126
SDSC SP2 (1998) (8 features),20.0,0.463321963080827,290
SDSC SP2 (1998) (8 features),21.0,0.0,1
SDSC SP2 (1998) (8 features),22.0,0.7849186754795128,157
SDSC SP2 (1998) (8 features),23.0,0.0,6
SDSC SP2 (1998) (8 features),24.0,0.6677558033123461,587
SDSC SP2 (1998) (8 features),25.0,0.6946234753783264,1024
SDSC SP2 (1998) (8 features),26.0,0.26899034443322783,4
SDSC SP2 (1998) (8 features),27.0,0.5215905771309027,23
SDSC SP2 (1998) (8 features),28.0,0.6795030755252466,23
SDSC SP2 (1998) (8 features),29.0,0.0,6
SDSC SP2 (1998) (8 features),30.0,0.43736161653211175,112
SDSC SP2 (1998) (8 features),31.0,0.4470186812976254,142
SDSC SP2 (1998) (8 features),32.0,0.6627236698290565,4462
SDSC SP2 (1998) (8 features),33.0,0.5786632325227252,33
SDSC SP2 (1998) (8 features),34.0,0.6700024711726511,168
SDSC SP2 (1998) (8 features),35.0,0.33803507003702143,32
SDSC SP2 (1998) (8 features),36.0,0.5321909635129805,214
SDSC SP2 (1998) (8 features),37.0,0.3217042510598276,46
SDSC SP2 (1998) (8 features),39.0,0.38591465530624264,16
SDSC SP2 (1998) (8 features),40.0,0.6588188928111618,192
SDSC SP2 (1998) (8 features),43.0,0.35554181634409937,15
SDSC SP2 (1998) (8 features),44.0,0.5996160737974355,382
SDSC SP2 (1998) (8 features),46.0,0.0,2
SDSC SP2 (1998) (8 features),47.0,0.3333333333333333,6
SDSC SP2 (1998) (8 features),48.0,0.507063978139694,704
SDSC SP2 (1998) (8 features),49.0,0.9191279600831375,167
SDSC SP2 (1998) (8 features),50.0,0.506839642667809,154
SDSC SP2 (1998) (8 features),56.0,0.39283770734920814,25
SDSC SP2 (1998) (8 features),60.0,0.7730899661090784,211
SDSC SP2 (1998) (8 features),62.0,0.41111785322196764,57
SDSC SP2 (1998) (8 features),63.0,0.5738113803865146,191
SDSC SP2 (1998) (8 features),64.0,0.7847764455043007,8635
SDSC SP2 (1998) (8 features),65.0,0.8331574911028078,260
SDSC SP2 (1998) (8 features),81.0,0.9205872729698704,539
SDSC SP2 (1998) (8 features),83.0,0.8565635836971447,569
SDSC SP2 (1998) (8 features),89.0,0.9090909090909091,11
SDSC SP2 (1998) (8 features),93.0,1.0,11
SDSC SP2 (1998) (8 features),100.0,1.0,13
SDSC SP2 (1998) (8 features),103.0,0.6506551834621911,18
SDSC SP2 (1998) (8 features),112.0,0.6922414661658116,489
SDSC SP2 (1998) (8 features),128.0,0.9383363378127793,2986
LANL CM-5 (1994) (8 features),32.0,0.12957622402847552,10401
LANL CM-5 (1994) (8 features),64.0,0.09368293648148346,6449
LANL CM-5 (1994) (8 features),128.0,0.35797481146647964,11442
LANL CM-5 (1994) (8 features),256.0,0.6264287858586198,13868
LANL CM-5 (1994) (8 features),512.0,0.7860681387842963,19817
LANL CM-5 (1994) (8 features),1024.0,0.883876142636106,4
