trace,pair,scheduler_a,scheduler_b,metric,n_observed,mean_diff,sd_diff,margin,margin_frac,alpha,achieved_power,achieved_power_bootstrap,n_for_80pct_power,n_for_80pct_power_difference,n_for_80pct_power_difference_holm,holm_family_size,n_disjoint_windows_available,settleable_with_disjoint_windows,p_tost_observed,equivalent_observed,effect_outside_margin,n_scan_max,power_at_n_scan_max,replicates,seed,note
sdsc,SMALLEST_FIRST vs PROACTIVE,SMALLEST_FIRST,PROACTIVE,mean_wait,20,-4.44439139060039,251.64544928521173,870.1696149082268,0.1,0.05,1.0,1.0,3.0,,,11,29,True,1.7601021436947869e-12,True,False,3,0.94745,20000,31337,"equivalence reachable: 3 disjoint windows needed, 29 available"
sdsc,PROACTIVE_EST vs SJF_USEREST,PROACTIVE_EST,SJF_USEREST,mean_wait,20,551.2029718869164,1021.4167038755819,694.6289699633103,0.1,0.05,0.1524,0.197,320.0,29.0,52.0,11,29,False,0.2687490887194862,False,False,320,0.8057,20000,31337,equivalence needs 320 disjoint windows but the trace supplies only 29; INCONCLUSIVE at this margin
sdsc,PROACTIVE vs FCFS,PROACTIVE,FCFS,mean_wait,20,-1775.757219882396,3642.5675348492014,1047.745336896466,0.1,0.05,0.0003,0.0215,,35.0,62.0,11,29,False,0.8086973532668702,False,True,200,0.0,20000,31337,"observed effect lies OUTSIDE the margin, so TOST power falls toward 0 with n (achieved 0.0003 at n=20) and no number of windows can certify equivalence; a Holm-corrected difference verdict needs 62 windows but the trace supplies only 29: NOT settleable, report INCONCLUSIVE"
sdsc,SMALLEST_FIRST vs PROACTIVE,SMALLEST_FIRST,PROACTIVE,mean_bounded_slowdown,20,0.5023469139731154,1.6235674477561928,1.848824715653467,0.1,0.05,0.9734,0.91075,11.0,84.0,145.0,11,29,True,0.0007446284698597588,True,False,11,0.8158,20000,31337,"equivalence reachable: 11 disjoint windows needed, 29 available"
sdsc,PROACTIVE_EST vs SJF_USEREST,PROACTIVE_EST,SJF_USEREST,mean_bounded_slowdown,20,0.004032059718312553,6.400832114872266,1.4702714858188426,0.1,0.05,0.00015,0.01775,165.0,,,11,29,False,0.15924890901476252,False,False,165,0.8076,20000,31337,equivalence needs 165 disjoint windows but the trace supplies only 29; INCONCLUSIVE at this margin
sdsc,PROACTIVE vs FCFS,PROACTIVE,FCFS,mean_bounded_slowdown,20,-16.19906317165503,28.770441567781155,3.4687310328189707,0.1,0.05,0.0,5e-05,,27.0,48.0,11,29,False,0.9687423610493502,False,True,200,0.0,20000,31337,"observed effect lies OUTSIDE the margin, so TOST power falls toward 0 with n (achieved 0.0000 at n=20) and no number of windows can certify equivalence; a Holm-corrected difference verdict needs 48 windows but the trace supplies only 29: NOT settleable, report INCONCLUSIVE"
lanl,SMALLEST_FIRST vs PROACTIVE,SMALLEST_FIRST,PROACTIVE,mean_wait,20,320.0174818441005,587.6536141806398,222.93240321438557,0.1,0.05,0.00465,0.05795,,29.0,50.0,11,28,False,0.7654809151595332,False,True,200,5e-05,20000,31337,"observed effect lies OUTSIDE the margin, so TOST power falls toward 0 with n (achieved 0.0046 at n=20) and no number of windows can certify equivalence; a Holm-corrected difference verdict needs 50 windows but the trace supplies only 28: NOT settleable, report INCONCLUSIVE"
lanl,PROACTIVE_EST vs SJF_USEREST,PROACTIVE_EST,SJF_USEREST,mean_wait,20,330.2579295600559,1188.7428378894922,188.9184549944727,0.1,0.05,0.0,0.1362,,105.0,185.0,11,28,False,0.699461997631009,False,True,200,0.00025,20000,31337,"observed effect lies OUTSIDE the margin, so TOST power falls toward 0 with n (achieved 0.0000 at n=20) and no number of windows can certify equivalence; a Holm-corrected difference verdict needs 185 windows but the trace supplies only 28: NOT settleable, report INCONCLUSIVE"
lanl,PROACTIVE vs FCFS,PROACTIVE,FCFS,mean_wait,20,-99.82424398921002,618.1029168503978,232.91482761330664,0.1,0.05,0.0613,0.24875,135.0,310.0,,11,28,False,0.17383574690485387,False,False,135,0.80205,20000,31337,equivalence needs 135 disjoint windows but the trace supplies only 28; INCONCLUSIVE at this margin
lanl,SMALLEST_FIRST vs PROACTIVE,SMALLEST_FIRST,PROACTIVE,mean_bounded_slowdown,20,0.4443391573622595,1.4123959035547005,0.6126598256727565,0.1,0.05,0.07965,0.20275,440.0,82.0,140.0,11,28,False,0.3001195321182853,False,False,440,0.8028,20000,31337,equivalence needs 440 disjoint windows but the trace supplies only 28; INCONCLUSIVE at this margin
lanl,PROACTIVE_EST vs SJF_USEREST,PROACTIVE_EST,SJF_USEREST,mean_bounded_slowdown,20,1.3262271527044862,5.152286705497537,0.45120549952784056,0.1,0.05,0.0,0.0022,,125.0,210.0,11,28,False,0.7715660323270321,False,True,200,0.0,20000,31337,"observed effect lies OUTSIDE the margin, so TOST power falls toward 0 with n (achieved 0.0000 at n=20) and no number of windows can certify equivalence; a Holm-corrected difference verdict needs 210 windows but the trace supplies only 28: NOT settleable, report INCONCLUSIVE"
lanl,PROACTIVE vs FCFS,PROACTIVE,FCFS,mean_bounded_slowdown,20,-2.0862102611155584,5.795637666014831,0.8212808517843126,0.1,0.05,0.0,0.05975,,64.0,110.0,11,28,False,0.8293522922310561,False,True,200,0.0,20000,31337,"observed effect lies OUTSIDE the margin, so TOST power falls toward 0 with n (achieved 0.0000 at n=20) and no number of windows can certify equivalence; a Holm-corrected difference verdict needs 110 windows but the trace supplies only 28: NOT settleable, report INCONCLUSIVE"
