scheduler,jobs_measured,mean_wait,median_wait,p95_wait,max_wait,mean_bounded_slowdown,p95_bounded_slowdown,mean_turnaround,fairness_gini,gpu_util,preemptions,trace,window,capacity,jobs_total,jobs_dropped_oversized,offered_load
FCFS,277,25452.310469314078,0.0,173160.2,309681.0,32.27767548988266,214.15615824112206,37180.429602888085,0.8632061718248801,0.6949428752811867,0,sdsc,1,128,445,0,0.7755506184895833
FIFO_STRICT,277,82508.5523465704,88050.0,167938.6,181204.0,218.2107606924353,1505.298842975206,94236.6714801444,0.415219903706959,0.678055086634515,0,sdsc,1,128,445,0,0.7755506184895833
SJF_ORACLE,277,12648.768953068593,0.0,57499.19999999993,427500.0,4.077026367960245,11.581528983824512,24376.8880866426,0.9298985051934541,0.6844939141833583,0,sdsc,1,128,445,0,0.7755506184895833
SJF_USEREST,277,11512.418772563176,0.0,62964.39999999999,410870.0,4.037845333120007,16.710023744911798,23240.537906137186,0.9182660064334721,0.7027139882743925,0,sdsc,1,128,445,0,0.7755506184895833
HRRN_USEREST,277,15284.664259927798,0.0,91599.99999999993,340547.0,8.602648202746348,20.932590784036904,27012.783393501806,0.8942797926825653,0.7013657652605698,0,sdsc,1,128,445,0,0.7755506184895833
SMALLEST_FIRST,277,20533.80144404332,0.0,86895.79999999999,332338.0,16.925630024641233,111.74590426203272,32261.92057761733,0.8992550989807863,0.6949428752811867,0,sdsc,1,128,445,0,0.7755506184895833
EASY_USEREST,277,26714.505415162454,7566.0,119059.6,173024.0,39.317469227311086,291.28466666666634,38442.624548736465,0.6992821355714838,0.7248552177456954,0,sdsc,1,128,445,0,0.7755506184895833
EASY_ORACLE,277,27527.259927797833,6832.0,125327.59999999996,155146.0,43.61534585328915,252.33658536585338,39255.379061371845,0.6947250061524949,0.7259404843480004,0,sdsc,1,128,445,0,0.7755506184895833
CONS_BF_USEREST,277,30782.56678700361,5861.0,130914.79999999997,170540.0,40.0629798871929,274.32666666666665,42510.68592057762,0.7018698014280034,0.7169629611449996,0,sdsc,1,128,445,0,0.7755506184895833
SRPT_ORACLE,277,8550.592057761733,0.0,46847.599999999984,332776.0,1.2338590137016987,2.837981626730919,20278.71119133574,0.9347176961835496,0.7041877511656393,180,sdsc,1,128,445,0,0.7755506184895833
PROACTIVE,277,20438.90974729242,0.0,86847.79999999999,341054.0,17.096845000319924,114.74853706803962,32167.028880866426,0.8994670724610127,0.7001229092722365,0,sdsc,1,128,445,0,0.7755506184895833
PROACTIVE_EST,277,14408.963898916967,0.0,79285.19999999985,469251.0,5.711384767599943,32.25634328358197,26137.083032490973,0.9170675410995911,0.6940359370290541,0,sdsc,1,128,445,0,0.7755506184895833
FCFS,408,24764.553921568626,2781.0,104029.34999999999,173945.0,142.01556340881805,840.2858333333331,32641.553921568626,0.7254296877351478,0.7878130418144155,0,sdsc,2,128,570,0,0.826199779369213
FIFO_STRICT,408,106953.03921568628,105897.5,184145.19999999998,190209.0,902.5373167821515,2563.0391666666665,114830.03921568628,0.24145953304143755,0.7485490756606095,0,sdsc,2,128,570,0,0.826199779369213
SJF_ORACLE,408,8277.007352941177,0.0,30809.099999999926,470837.0,23.24300327839244,184.3369115259739,16154.007352941177,0.8662620435069985,0.7878130418144155,0,sdsc,2,128,570,0,0.826199779369213
SJF_USEREST,408,8512.84068627451,0.0,30222.149999999998,349977.0,25.847310083680217,173.73999999999998,16389.84068627451,0.8534989940649229,0.7724676786523955,0,sdsc,2,128,570,0,0.826199779369213
HRRN_USEREST,408,9160.365196078432,0.0,39392.899999999994,255409.0,21.750065141873637,111.80999999999983,17037.36519607843,0.8581255722877422,0.7810934412251311,0,sdsc,2,128,570,0,0.826199779369213
SMALLEST_FIRST,408,10821.764705882353,0.0,39996.69999999986,310369.0,18.026319499615035,109.65875,18698.764705882353,0.9159543331429073,0.7667920340376759,0,sdsc,2,128,570,0,0.826199779369213
EASY_USEREST,408,24674.92156862745,4321.5,99621.79999999996,173048.0,142.26924214582212,840.8764393939392,32551.92156862745,0.7060936150050223,0.7878130418144155,0,sdsc,2,128,570,0,0.826199779369213
EASY_ORACLE,408,24210.218137254902,493.5,105871.84999999999,147777.0,130.404150212216,961.1118441971383,32087.218137254902,0.7196420516140246,0.7878130418144155,0,sdsc,2,128,570,0,0.826199779369213
CONS_BF_USEREST,408,20266.45343137255,320.5,97370.49999999994,148552.0,82.3286582543313,395.25833333333327,28143.45343137255,0.7491458746776115,0.7878130418144155,0,sdsc,2,128,570,0,0.826199779369213
SRPT_ORACLE,408,5227.02205882353,0.0,11417.499999999995,496655.0,1.11772268501485,1.285751235247521,13104.02205882353,0.9690587672147577,0.773361465341887,326,sdsc,2,128,570,0,0.826199779369213
PROACTIVE,408,10824.475490196079,0.0,39833.59999999985,310369.0,18.04138553430684,108.46999999999993,18701.475490196077,0.9157634261384316,0.7667920340376759,0,sdsc,2,128,570,0,0.826199779369213
PROACTIVE_EST,408,8826.286764705883,0.0,30841.49999999993,310369.0,14.71111927956919,106.98958333333329,16703.28676470588,0.9134622085010199,0.7691301446004726,0,sdsc,2,128,570,0,0.826199779369213
FCFS,444,14393.326576576577,0.0,90861.14999999978,244922.0,29.014746869407695,135.51759803921541,21450.59234234234,0.8786329452696905,0.805245125408851,0,sdsc,3,128,554,0,0.9468685438368055
FIFO_STRICT,444,94111.2072072072,91252.5,188673.04999999967,205321.0,662.5465076285091,2046.7041666666667,101168.47297297297,0.28067051550577227,0.7777967711611413,0,sdsc,3,128,554,0,0.9468685438368055
SJF_ORACLE,444,10119.259009009009,0.0,32426.89999999997,508011.0,8.719836295208289,44.16480158730154,17176.524774774774,0.9199857236428857,0.781563368469373,0,sdsc,3,128,554,0,0.9468685438368055
SJF_USEREST,444,11506.792792792792,0.0,40598.74999999997,461372.0,8.703666229683078,47.7516666666666,18564.058558558558,0.9196349715451632,0.7826340554563291,0,sdsc,3,128,554,0,0.9468685438368055
HRRN_USEREST,444,12220.545045045044,0.0,77584.59999999983,315436.0,12.362423783125342,53.71976190476183,19277.81081081081,0.8873975645924266,0.8045142218108331,0,sdsc,3,128,554,0,0.9468685438368055
SMALLEST_FIRST,444,15102.108108108108,140.0,45714.09999999999,323880.0,34.07537066211888,229.56333333333257,22159.373873873872,0.869444162565939,0.7741996256968648,0,sdsc,3,128,554,0,0.9468685438368055
EASY_USEREST,444,24728.155405405407,14813.0,100135.34999999999,154668.0,114.41027710120935,620.1858333333332,31785.421171171172,0.6529712676920273,0.8508911711768401,0,sdsc,3,128,554,0,0.9468685438368055
EASY_ORACLE,444,20845.117117117115,13266.5,79836.39999999997,136232.0,90.48638547807174,441.7999999999999,27902.382882882885,0.6321330328482175,0.8512789790357724,0,sdsc,3,128,554,0,0.9468685438368055
CONS_BF_USEREST,444,27869.400900900902,15687.0,99496.84999999996,155161.0,100.46605703584049,499.29083333333324,34926.666666666664,0.6156149670366238,0.846165103001988,0,sdsc,3,128,554,0,0.9468685438368055
