scheduler,scheduler_name,data_source,n_runs,mean_wait,gini_run_level,jain_fairness_index_run_level,min_run_wait,max_run_wait,run_max_min_ratio,gini_per_job,max_job_wait,starvation_count,starvation_rate_pct
fifo,FIFO,benchmark_statistical(40 runs)+fairness_analysis,40,18.268863636363637,0.16951376534839468,0.9180018786923053,6.527272727272727,29.081818181818186,4.4554317548746525,0.5261904919201371,57.85,22.25,20.227272727272727
proactive,Proactive (XGBoost),benchmark_statistical(40 runs)+fairness_analysis,40,16.640454545454542,0.16254063208500646,0.9241543265783259,7.3545454545454545,26.39090909090909,3.588380716934487,0.7936274161073568,122.65,18.35,16.681818181818183
proactive_starvation,Proactive + Anti-Starvation,per_job_aggregates_only,0,16.40909090909091,,,,,,0.6921033245260083,88.15,30.2,27.454545454545453
sjf,SJF,per_job_aggregates_only,0,12.34,,,,,,0.7853697934735475,145.7,,
sjf_est,SJF_EST,per_job_aggregates_only,0,13.317727272727272,,,,,,0.7868457689086877,149.65,,
srpt,SRPT,per_job_aggregates_only,0,14.02318181818182,,,,,,0.8102613314572313,150.95,,
hrrn,HRRN,per_job_aggregates_only,0,15.553636363636365,,,,,,0.537721717745117,65.2,,
smallest,SMALLEST,per_job_aggregates_only,0,16.074545454545454,,,,,,0.7965479878427846,136.35,,
nn,Neural Network,per_job_aggregates_only,0,16.074545454545454,,,,,,0.7965479878427846,136.35,,
static_priority,Static priority,per_job_aggregates_only,0,16.53181818181818,,,,,,0.743463234265281,131.7,,
proactive_bf,PROACTIVE_BF,per_job_aggregates_only,0,19.201363636363634,,,,,,0.4785905444320978,53.8,,
backfill_est,BACKFILL_EST,per_job_aggregates_only,0,19.22772727272727,,,,,,0.4721178824072943,53.8,,
backfill,BACKFILL,per_job_aggregates_only,0,19.24772727272727,,,,,,0.4514832969944593,51.55,,
cons_bf,CONS_BF,per_job_aggregates_only,0,21.843636363636364,,,,,,0.3744382797638779,50.25,,
fifo_strict,FIFO_STRICT,per_job_aggregates_only,0,26.174545454545456,,,,,,0.3577171949263472,56.6,,
