scheduler,scheduler_name,sla1_95pct_2x_geomean_runs,sla2_no_starvation_share,sla3_max_wait_le_150,n_measurable_slas,compliance_score
fifo,FIFO,1.0,0.7977272727272727,1.0,3,0.9325757575757576
proactive,Proactive (XGBoost),1.0,0.8331818181818181,1.0,3,0.9443939393939393
proactive_starvation,Proactive + Anti-Starvation,,0.7254545454545455,1.0,2,0.8627272727272728
sjf,SJF,,,1.0,1,1.0
sjf_est,SJF_EST,,,1.0,1,1.0
srpt,SRPT,,,0.0,1,0.0
hrrn,HRRN,,,1.0,1,1.0
smallest,SMALLEST,,,1.0,1,1.0
nn,Neural Network,,,1.0,1,1.0
static_priority,Static priority,,,1.0,1,1.0
proactive_bf,PROACTIVE_BF,,,1.0,1,1.0
backfill_est,BACKFILL_EST,,,1.0,1,1.0
backfill,BACKFILL,,,1.0,1,1.0
cons_bf,CONS_BF,,,1.0,1,1.0
fifo_strict,FIFO_STRICT,,,1.0,1,1.0
