job_gpu,total_free,queue_length,running_jobs,max_free_node,variance_free,smaller_jobs_in_queue,demand_ratio,wait_time
2,24,0,2,4,3.0,0,0.08,0
1,25,0,1,4,2.359375,0,0.038461538461538464,0
7,32,0,0,4,0.0,0,0.21212121212121213,0
5,24,1,2,4,3.0,1,0.2,0
3,24,2,2,4,3.0,1,0.12,0
2,7,0,6,4,2.359375,0,0.25,0
7,14,0,5,4,3.4375,0,0.4666666666666667,0
5,1,0,8,1,0.109375,0,2.5,3
4,5,0,7,4,1.734375,0,0.6666666666666666,0
4,1,1,8,1,0.109375,0,2.0,2
2,1,3,7,1,0.109375,0,1.0,6
6,7,1,6,4,2.359375,1,0.75,2
3,7,3,6,3,1.359375,0,0.375,3
4,1,4,7,1,0.109375,2,2.0,10
5,2,1,7,2,0.4375,0,1.6666666666666667,10
4,2,13,7,1,0.1875,2,1.3333333333333333,1
8,2,2,7,2,0.4375,2,2.6666666666666665,10
2,9,12,7,4,1.859375,0,0.2,4
2,4,9,6,4,1.75,0,0.4,0
1,0,11,8,0,0.0,1,1.0,1
1,2,11,7,2,0.4375,0,0.3333333333333333,2
6,1,5,7,1,0.109375,4,3.0,21
2,1,17,9,1,0.109375,0,1.0,3
5,4,5,6,2,0.75,4,1.0,17
2,2,9,7,2,0.4375,0,0.6666666666666666,0
6,1,6,7,1,0.109375,5,3.0,25
2,2,20,9,1,0.1875,2,0.6666666666666666,4
2,1,19,9,1,0.109375,1,1.0,3
1,1,20,9,1,0.109375,0,0.5,0
5,4,7,6,4,1.75,2,1.0,22
2,2,19,9,1,0.1875,1,0.6666666666666666,1
5,1,7,7,1,0.109375,4,2.5,24
7,1,8,7,1,0.109375,7,3.5,28
7,0,7,7,0,0.0,7,7.0,32
2,2,18,8,2,0.4375,0,0.6666666666666666,0
1,2,20,8,2,0.4375,1,0.3333333333333333,0
3,0,12,9,0,0.0,1,3.0,23
6,1,9,7,1,0.109375,7,3.0,32
1,2,19,8,2,0.4375,0,0.3333333333333333,4
3,0,20,10,0,0.0,3,3.0,21
3,4,18,8,2,0.5,2,0.6,27
5,2,10,7,2,0.4375,4,1.6666666666666667,28
8,4,8,6,4,1.75,8,1.6,33
6,0,12,8,0,0.0,9,6.0,28
6,0,13,9,0,0.0,9,6.0,35
1,0,19,8,0,0.0,0,1.0,11
1,2,15,7,1,0.1875,0,0.3333333333333333,0
4,4,16,8,2,0.5,3,0.8,44
3,6,19,8,4,1.9375,4,0.42857142857142855,22
3,6,20,6,4,1.9375,2,0.42857142857142855,4
4,0,14,9,0,0.0,2,4.0,40
3,1,16,8,1,0.109375,0,1.5,2
7,9,13,7,4,1.859375,12,0.7,43
6,0,15,9,0,0.0,11,6.0,41
2,1,18,8,1,0.109375,0,1.0,5
4,4,17,8,2,0.5,4,0.8,49
3,7,20,7,4,1.859375,2,0.375,6
2,7,21,7,4,1.859375,1,0.25,7
8,1,20,9,1,0.109375,20,4.0,52
1,3,18,7,2,0.484375,0,0.25,0
2,3,16,8,2,0.484375,0,0.5,0
4,2,21,9,1,0.1875,9,1.3333333333333333,55
4,1,18,9,1,0.109375,6,2.0,50
5,8,20,8,4,2.0,10,0.5555555555555556,50
1,16,16,6,4,2.75,0,0.058823529411764705,0
2,0,14,10,0,0.0,0,2.0,6
2,0,13,9,0,0.0,1,2.0,3
2,16,17,6,4,2.75,1,0.11764705882352941,0
5,5,20,7,3,0.984375,10,0.8333333333333334,41
6,8,19,7,3,1.5,14,0.6666666666666666,52
2,3,11,8,2,0.484375,0,0.5,0
8,6,20,8,4,1.9375,20,1.1428571428571428,50
4,1,11,9,1,0.109375,0,2.0,1
3,1,11,8,1,0.109375,0,1.5,1
3,10,16,4,4,2.9375,0,0.2727272727272727,0
4,2,15,5,2,0.4375,0,1.3333333333333333,2
8,8,20,7,3,1.5,20,0.8888888888888888,57
2,5,15,5,4,1.734375,0,0.3333333333333333,0
7,8,19,7,3,1.5,15,0.7777777777777778,59
7,3,20,7,2,0.484375,16,1.75,57
1,0,14,6,0,0.0,0,1.0,1
2,5,16,5,4,1.734375,1,0.3333333333333333,0
8,0,18,7,0,0.0,18,8.0,60
7,8,15,6,4,1.5,11,0.7777777777777778,57
3,5,14,6,3,1.234375,0,0.5,0
4,4,14,6,2,0.5,0,0.8,0
7,2,16,7,1,0.1875,12,2.3333333333333335,58
7,0,19,7,0,0.0,15,7.0,63
6,1,17,8,1,0.109375,8,3.0,64
1,7,14,6,4,2.359375,0,0.125,4
2,7,15,6,4,2.359375,1,0.25,4
7,0,19,8,0,0.0,15,7.0,64
3,0,15,7,0,0.0,2,3.0,12
4,1,12,7,1,0.109375,1,2.0,6
2,1,14,7,1,0.109375,0,1.0,1
7,6,11,8,4,1.6875,9,1.0,43
6,1,19,8,1,0.109375,10,3.0,67
7,3,12,7,2,0.484375,10,1.75,46
4,0,15,8,0,0.0,2,4.0,14
6,2,12,7,2,0.4375,2,2.0,47
6,7,12,5,4,1.859375,3,0.75,48
7,0,12,6,0,0.0,11,7.0,50
6,2,13,5,2,0.4375,4,2.0,50
8,2,14,5,2,0.4375,14,2.6666666666666665,64
7,1,13,7,1,0.109375,11,3.5,34
5,0,14,8,0,0.0,2,5.0,31
8,3,15,5,2,0.484375,15,2.0,64
6,4,16,7,2,0.5,7,1.2,35
8,1,15,7,1,0.109375,15,4.0,48
7,3,16,7,3,0.984375,13,1.75,47
3,32,0,0,4,0.0,0,0.09090909090909091,0
4,20,1,3,4,3.0,1,0.19047619047619047,0
4,26,0,2,4,1.9375,0,0.14814814814814814,0
3,15,0,5,4,3.609375,0,0.1875,0
1,20,0,3,4,3.0,0,0.047619047619047616,0
4,12,0,6,4,3.75,0,0.3076923076923077,0
3,29,0,1,4,0.984375,0,0.1,0
7,7,2,7,3,1.109375,1,0.875,5
5,22,0,3,4,2.9375,0,0.21739130434782608,0
5,12,1,6,4,3.75,1,0.38461538461538464,0
1,1,6,8,1,0.109375,0,0.5,0
4,7,3,7,3,1.109375,0,0.5,9
6,7,1,7,3,1.109375,0,0.75,0
8,7,0,7,3,1.109375,0,1.0,11
3,1,4,8,1,0.109375,0,1.5,8
6,1,5,8,1,0.109375,3,3.0,13
6,1,3,8,1,0.109375,1,3.0,13
1,8,12,6,4,1.75,0,0.1111111111111111,0
2,2,9,6,2,0.4375,0,0.6666666666666666,0
6,1,6,7,1,0.109375,5,3.0,14
3,8,10,6,4,1.75,0,0.3333333333333333,3
1,9,7,4,4,1.609375,0,0.1,0
6,1,5,7,1,0.109375,4,3.0,11
8,11,6,5,4,1.984375,6,0.6666666666666666,24
4,1,11,8,1,0.109375,1,2.0,12
1,1,14,8,1,0.109375,0,0.5,0
6,9,7,4,3,1.609375,3,0.6,13
5,2,6,6,2,0.4375,0,1.6666666666666667,14
7,5,5,6,3,1.234375,4,1.1666666666666667,25
5,0,15,9,0,0.0,3,5.0,23
8,5,6,6,3,1.234375,6,1.3333333333333333,26
3,1,12,8,1,0.109375,1,1.5,21
7,11,7,4,4,2.234375,5,0.5833333333333334,33
